Name	Abk�rzung	Kosten	Kraft	Schuss	Geschwindigkeit	Transport	Typ	Effekt/Erforschung	Hinweise
Flederm�use	F	30 G	20	-	- / 20cm	20	fliegend	-Kamikaze: Alle E in 5cm Umkreis -20K und 1 R nicht bewegen	
Eisb�ren	Ei	10N 50G	60	-	3 / 3cm	50	gehend	-Panzer (Bringt +20K / Kostet 200G 2R)	#NAME?
Drachen	D	200G 20N	200	-	- / 20cm	50	fliegend	" -Feuerdrachen (Bringt in 5cm Umkreis -20K / 200N 50G 3R)
-Waldbrand (Bringt: Wald wird zerst�rt, in 3cm Umkreis -20K, im Wald -40K / Kostet 400H 100G 5R)"	
Heldenkrieger	He	20G	20	-	4 / 4cm	10	gehend	"-T�richter Wahnsinn: Sie bekommen +50K, aber 3-facher Schussschaden
-Heldenepos (+20K / Kostet 400G 1R)"	
Engel	En	50G	50	-	- / 10cm	10	"fliegend/
zaubernd"	-Himmlischer Glanz (Bringt +20K / Kostet 400G 1R)	
Zauberer	Z	50G	40	-	3 / 2cm	10	"gehend/
zaubernd"	-Heilen: kann einer E 50K pro R heilen	
Trolle	T	10N 50G	40	20S (5cm)	5 / 4cm	20	gehend	"-Zusammenschluss: - 2 Trolle k�nnen sich zu 1 doppelk�pfigen Troll weiterentwickeln (Kostet 20M / Kraft von 2 Trollen +20K, und 40S)
- zwei doppelk�pfige Trolle k�nnen sich zu 1 vierk�pfigen Troll weiterentwickeln (Kostet 20M / Kraft von 2 doppelk�pfigen "	
Kobolde	Ko	10N	10	-	2 / 1cm	10	gehend	"-Bauen: K�nnen Mauern errichten f�r 20S
-Reparieren: Reparieren Geb�ude / Maschinen 50G=50K"	
Riesen	R	100G 20H	120	-	7 / 7cm	80	gehend	-Bergriesen (Bringt +40K, +20K gegen G / Kostet 100H 200N 3R)	
Himmelsschrauber	Hs	20H	10	20S (5cm)	- / 15cm	10	fliegend	-Verst�rkte Bohlen (Bringt +30K / Kostet 200H 1R)	
Himmelspiratenschiffe	Hsp	100H	70	-	- / 20cm	"100
+5E"	fliegend	#NAME?	Ausbildung nicht m�glich, falls im Besitz von Marineeinheiten!
Oger	O	50G	20	-	6 / 6cm	70	gehend	"-Ogerkeule (Bringt +20K / Kostet 400G 1R)
-Rucksack (Bringt +50 Transport / Kostet 400G 2R)"	
Werw�lfe	W	20N	20	-	8 / 7cm	20	gehend	"-Biss (Bringt eine geg. E innerhalb von 10R zu deinem Werwolf)
-Geheul: alle E von dir in 5cm Umkreis +10K eine R lang"	- Es kann nur einmal Geheul aktiv sein!
Kriecher	Kr	100G	80	-	3 / 2cm	10	gehend	-Beschw�rung: Kann E mit weniger als 40K zu dir beschw�ren = geh�rt zu dir	
Dunkle Zauberer	dZ	120G	80	20S (5cm)	2 / 2cm	10	gehend/ zaubernd	" -Feuerschuss: in 5cm Umkreis eine E abschie�en: -20K
Geb�ude: pro Runde -20K
Einheit: pro Runde -10K"	- Es kann mehrfach Feuerschuss aktiv sein!
R�uberbande	Rb	50G	50	-	4 / 4cm	30	"gehend/
R�ubernd"	-Pl�ndern (Bringt: k�nnen Rohstoffe von geg. Geb�uden klauen, m�ssen abtransportiert werden / Kostet 100H 200N 100G 4R)	- Einheit kann nur ausgebildet werden, solange keine Marineeinheiten ausgebildet wurden!
Walf�nger	Wf	100H	10	-	- / 20cm	160	schwimmend	-Walfang: m�ssen zum einsamen Eisberg oder zu den Polen fahren und 1R dort bleiben um 80N zu erhalten, die sie an einem Hafen/Werft abliefern m�ssen	
Kannibalen	Kb	20G 20M	60	-	5 / 6cm	10	"gehend/
Kannibalisierend"	"-Kriegsbemalung (Bringt +20K; Gegner in 5cm Umkreis -10K / Kostet 200G 100N 3R)
-Speerwurf (Bringt +30S auf 5cm / Kostet 200H 1R)"	
Zwerge	Zw	40G	40	-	3 / 3cm	20	gehend	"-Tunneln: K�nnen Tunnel mit Ein- und Ausgang bauen, pro R 1 St�ck Tunnel; Kostet 50H.
Kann nur durch Zwerge oder Feuereinheiten eingest�rzt werden. Zwerge im Tunnel +20K"	
Schiffe	S	100H	40	-	"1cm Land
15cm Wasser"	"150
+5E"	"schwimmend/
Rollend"		
K�nig	K	-	800	-	8 / 8cm	10	"gehend/ zaubernd/
K�nigend"	"-K�nigseffekt: alle 5R einsetzbar
-Patrick: Eissturm = Krieger sind halb so stark (4cm)
-Simon: Zwei Riesen herbeirufen
-Michael: Feuersturm = 3 E vernichten"	- K�nig kann nicht ausgebildet, sondern nur als Starteinheit ausgew�hlt werden
Steingolem	G	100S 10G	160	-	2 / 2cm	40	gehend	-Explodieren: ist Tod. Jede E in 3cm Abstand -50K	
Wasserdrache	Wd	200G 20N	180	-	"10cm Luft
40cm Wasser"	40	"schwimmend/
Fliegend"	-Wasserdampf: alle 5 R: 1R lang kann man den Drachen nicht sehen, er kann angreifen wen er will	- Wasserdrachen d�rfen ausschlie�lich in den Meerengen von Atlantis ausgebildet werden!
Krake	Kr	100N	80	-	20cm Wasser	30	schwimmend	"-Umschlinger: Kann alle Schiffe, z.B. Walf�nger, Himmelspiratenschiffe, usw. zerst�ren, ohne Schaden zu nehmen
-Tiefseekraken (Bringt +20K / Kostet 300G 1R)"	
Meeresj�nger	M	80N 30G	80	-	"1 / 1cm
20cm Wasser"	10	"schwimmend/
Gehend"	"-Blitzsto�: Eine E kann sich 2R nicht bewegen und sie bekommt einen Schaden von 20K in einem Umkreis von 5cm
-Poseidens Dreizack (Bringt +20 Schaden bei Blitzsto� / Kostet 300G 1R)"	
Walreiter	Wr	200N 50G	200	20S (5cm)	30cm Wasser	"50
+1E"	schwimmend	-Walweitsprung: Walreiter kann E, die sich an Land befinden in 4cm Umkreis angreifen, sie ihn jedoch nicht	
Meeresk�nig	Mk	300G	150	-	"2 / 2cm
15cm Wasser"	10	"schwimmend/
K�nigend"	-K�nigliche Wasserschlacht: Jede Wassereinheit +20K	#NAME?
Seeschlange	Ss	50N 30G	70	-	10cm Wasser	20	schwimmend	"-Gr�ben graben: Kann einen Wassergraben pro R bauen; muss Anschluss ans Wasser oder einen anderen Graben haben; Seeschlange muss am Beginn sein"	
Thunfischfarm	T	300G	50	-	- / -	-	Geb�ude	"-Thunfisch thunen: 50N pro R; muss an Fischstandorten platziert werden"	
Katapulte	Ka	80H	20	40S (10cm)	3 / 2cm	0	gehend	"-FLAK: Schuss t�tet Lufteinheit sofort
-schweres Kriegsger�t (Bringt +40K / Kostet 300H 3R)"	
Ents	E	100H 10G	180	-	2 / 8cm	40	gehend	" -Einwurzeln: +20K und niemand sieht ihn; k�nnen auf 4cm Umkreis angreifen
-Baumriesen (Bringt +80K / Kostet 400H 4R)"	
Streitwagen	Stw	60H 30G	70	20S (5cm)	8 / 12cm	20	gehend		
Indianerbande	I	-	100	-	4 / 4 cm	-	gehend		"- Wird nur durch Ereigniskarte hervorgerufen!
- Startet bei Indianerdorf"
Kuschelgarde	Kg	-	100	-	4 / 4cm	-	gehend		"- Wird nur durch Ereigniskarte hervorgerufen!
- Startet bei Kicherode"
Dr. Knuddels Kleiderschr�nke	DKKS	-	240	-	- / 10cm	-	fliegend		"- Wird nur durch Ereigniskarte hervorgerufen!
- Startet bei Kicherode"
Zollstation	Zs (?)	50G 50H 50S	200	-	- / -	-	Geb�ude	-Zoll: bei ihr kann vom Besitzer ein unbestimmt hoher Zoll, f�r geg. E die in 5cm Umkreis passieren wollen, erhoben werden (muss aber davor klargegeben werden)	
Eisk�nigin	Ek	300G	150	-	2 / 2cm	10	gehend	"-Eis am Stiehl: Alle Eiseinheiten +20K
-Eineisen: kann auf 10cm eine E einfrieren, 4R lang eingefroren -20K"	
Eisw�lfe	Ew	60N	40	-	7 / 7cm	20	gehend	-Geheul: alle E vom Gegner in 5cm Umkreis -10K f�r eine Runde	- Geheul kann nicht mehrfach auf ein Gebiet angewendet werden!
B�renreiter	Br	50G	50	-	3 / 3cm	20	"gehend/
Reitend"	-Digitieren: Eisb�r + B�renreiter = Eisb�rreiter = 150K	
Feuerkobolde	Fk	20N	10	-	5 / 5cm	10	gehend	-Brennen: 3cm Umkreis -20K (egal ob Gegner oder Verb�ndet)	
Orks	Ok	80G	70	-	6 / 6cm	30	gehend	"-Orkfett (Bringt +20K / Kostet 200G 2R)
-Kriegsaxt (Bringt +20K / Kostet 400G 2R)"	
Gargoil	GG	-	300	-	2 / 2cm	50	gehend	"-Beschw�rung: Entsteht nur, wenn 5R lang an 5 Beschw�rungsorten ein dunkler Zauberer steht
-DAS B�SE!: Jede B�se Einheit (?) +10K, alle anderen -10K"	
Waldl�ufer	Wl	100N	70	20S (5cm)	7 / 10cm	10	gehend	-unsichtbare Augen (Bringt: kann nicht in Wald und Wiese gesehen werden / Kostet 200G 5R)	
Elben	Eb	100N 50G	110	30S (10cm) 	4 / 6cm	10	gehend	-Tarnung: Man sieht sie 5R lang nicht + �berraschungsangriff +40K	
Gef�ngnisw�rter	Gw	50G	30	-	4 / 1cm	10	gehend	-Einbuchtung: kann eine E in 2cm Umkreis gefangen nehmen (geht nicht, wenn sie eingefroren oder geschockt ist). Sie wird ins Gef�ngnis von ihm gebracht, wird das Gef�ngnis zerst�rt kommt die E frei	
Eisdrachen	ED	200G 20N	180	-	- / 20cm	50	fliegend	"-Einfrieren: friert eine E f�r 2R ein in 5cm Umkreis; E -20K"	
Drachenk�nig	DK	400N 100G	400	-	- / 25cm	50	fliegend	-Herr der Drachen: Alle Drachen von dir haben +20K	
Wolkenfestung	(?)	-	500	-	- / 30cm	100	fliegend	(?)	
Koloss	KL	450 (?) 20S 50G	400	-	4 / 5cm	100	gehend	"-Reparatur: Er kann sich heilen, indem er B�ume isst. Jede R 50K
-Goldkoloss (Bringt +40K / Kostet 500G 3R)"	
Zentauren	Ze	10G 60N	50	20S (5cm)	8 /10cm	40	gehend	-Eposgestalt (Bringt +20K / Kostet 100H 2R)	
Minotaurus	Mt	20S 50N	100	-	4 / 6cm	40	gehend	"-Wegschleudern: Kann E wegschleudern -20K. E braucht eine R um aufzustehen
-Eposgestalt (Bringt +20K / Kostet 100H 2R)"	
Hydra	Hy	100N	80	-	"10cm Land
20cm Wasser"	20	"schwimmend/
Gehend"	"-Lebensentzug: F�r jede get�tete E +10K
-Todeshydra (Bringt: wird nach 5R wiederbelebt. Kann nur einmal wiederbelebt werden / Kostet 200H 400G 2R)"	
Kriegsschiff	Kf	100H 50G	130	40S (5cm)	"- / 1cm
20cm Wasser"	20	schwimmend		
"Schiffkutter
(Fischkutter)"	FK	50H	10	-	"- / 1cm
15cm Wasser"	100	schwimmend	"-Fischen: kann an eine Stelle mit Fischen 1R warten um danach einen Hafen aufzusuchen und 50N zu erhalten
-verst�rktes Netz (Bringt: man erh�lt zus�tzlich 20N pro Fischfang / Kostet 200N 100H 1R)"	
Runenmeister	Rm	100N	80	-	3 / 3cm	20	gehend	"-Vereisen: 1 E in 5cm Umkreis -20K, bleibt 2R vereist
-Eismeister (Bringt +10K; +10K Abzug beim Vereisen und 1R l�nger / Kostet 200G 100M 2R)"	
dunkele Schatten	dS	180N 20M	200	-	- / 20cm	50	fliegend	-Schreien: Geg. E in 3 Feldern Umkreis m�ssen im n�chsten Zug sich so weit wie m�glich von ihm entfernen (nur 1 mal in 5R) (?)	
Bogensch�tzen	Bg	50H 20N	40	20S (5cm)	5 / 7cm	10	gehend	 - Normietum: Pro 10E auf einem Haufen +10K. 	
Sphinxen	Sx	120N 40M	150	-	1 / 7cm	30	gehend/ Zaubernd	-Grabw�chtersphinx (Bringt: +20K / Kostet 60N 60G 4R)	
Reiter	RT	30G 50N	60	-	7 / 10cm	30	gehend	" -schwere Reiter (Bringt: +20K bei geg. Angriff / Kostet 200N 100G 2R)
-Elite Reiter (Bringt: +10K +2/5cm Bewegung / Kostet 250N 100G 2R)  - Normietum: Pro 10E auf einem Haufen +10K. "	
Speerschleuderer	Sps	50G 20H	50	30 Wurf (5cm)	3 / 5cm	20	gehend	 -Elite Speerk�mpfer (Bringt: +20K +20 Wurf / Kostet 200N 100G 2R)  - Normietum: Pro 10E auf einem Haufen +10K. 	
Schwertk�mpfer	Sw	50G 40N	70	-	5 / 8cm	20	gehend	" -starke R�stung (Bringt +20K bei geg. Angriff / Kostet 200G 2R)
-Elite Schwertk�mpfer (Bringt +20K / Kostet 200N 100G 2R)  - Normietum: Pro 10E auf einem Haufen +10K. "	
Mumien	Mu	100G	80	-	2 / 10cm	5	gehend	"-Verwandeln: Verwandelt eine geg. E in einen Trabanten (geh�rt zu dir). Alle zwei R; auf 3cm Entfernung
-Totenmaske (Bringt +20K / Kostet 300G 1R)"	
Skorpionmann	Skm	50G 60N	90	-	3 / 15cm	20	gehend	"-Vergiften: Die E, die gegen ihn k�mpft, erleidet Giftschaden; jede R -10K"	
Riesenschlange	Rs	110N	100	-	3 / 15cm	0	gehend	"-W�rgen: kann eine geg. E w�rgen; kann sich nicht wehren; -20K die R
-schnelles Wachstum (Bringt: Kann zwei E gleichzeitig w�rgen / Kostet 200N 3R)"	
Hohenpriester	HH	500G	120	-	3 / 10cm	10	gehend	-Verzaubern: kann an einem Geb�ude in 5cm Umkreis den doppelten Ertrag hervorrufen, oder die E um die H�lfte billiger machen	"- Man kann nur einen Hohenpriester gleichzeitig besitzen!
- Bei �Verzaubern� muss Hohenpriester permanent anwesend sein!"
Trabant	(?)	10G	10	-	2 / 8cm	5	gehend		- wird durch Mumien hervorgerufen!
M�makil (Olifant)	M�	300N 30H	300	-	5 / 15cm	"200
+10E"	gehend	-�bertrampeln: alle E auf einem Feld, dass er �berquert bekommen 20K schaden	
H�hlentroll	Ht	80N	80	-	2 / 8cm	20	gehend	-Dunkeltrolle (Bringt +30K / Kostet 300G 2R)	
Trommeln der Moria Goblins	MT	10H 10G	10	-	2 / 6cm)	0	gehend	"-Kriegstrommeln: Alle verb. E in der N�he erhalten +20K; 10cm Umkreis"	- Effekt kann nur einmal gleichzeitig in einem Gebiet wirken!
Packbestie	Pb	50N 10H	20	-	2 / 8cm	100	gehend	"-Verschlingen: 1 E in 5cm Umkreis wird jede R -20K abgezogen und ist kampfunf�hig bis sie oder die Packbestie tod ist; sie ist dann in ihr drin"	- unsichtbar bis beladen!
Zwergenbogensch�tzen	ZwB	30G 10H	30	20S (5cm)	4 / 4cm	20	gehend	(?)	
Zwergenballiste	ZB	150H	20	50S (22cm)	4 / 4cm	0	gehend	-schweres Kriegsger�t (Bringt +40K / Kostet 300H 3R)	
Echsenk�nig	Eck	1000G	500	"40s (5cm)
Gift!"	4 / 4cm	40	gehend	#NAME?	
Talgrim, K�nig unter dem Berg	Zwk	1000G	500	-	4 / 4cm	40	gehend	"-Die Kleinsten werden die Gr��ten sein: Zwerge +20K
-Berserker: Berserker (BS)"	
Hexenmeister	HX	1000G	500	-	4 / 4cm	40	gehend	"-Golden Shower: 50M pro R
-Ringritter-spezial: (?)"	
Feenk�nigin	FK	1000G	500	-	4 / 4cm	40	gehend	#NAME?	
1. Admiral	1.A	1000G	500	-	4 / 4cm	40	gehend	"-Stillgestanden!: alle Marineeinheiten +20k
-Bauaufsicht: alle Schiffe +20k
-Handelsschiffe: Handelsschiffe (Hf)"	
Eiszauberer	Ez	1000G	500	-	4 / 4cm	40	gehend	"-Naturkaviar: 50M pro R
-Yetis: Yetis (Y)"	
Pharao Ramses I	PhRI	1000G	500	-	4 / 4cm	40	gehend	-Gruftis: jede R 1 Mumie	
Echsen	EX	100N 40H	100	"30S (5cm)
Gift!"	3 / 7cm	40	gehend		- Ausbildung nur durch Echsenk�nig!
Berserker	BS	100N	20	-	5 / 3cm	10	gehend	 -Berserken: +500K im Kampf gegen geg. E in 2cm Umkreis. Nach dem dieser Effekt eingesetzt wurde stirbt der Berserker.	- Ausbildung nur durch Talgrim!
Todesfeen	TF	300N	120	-	- / 20cm	10	fliegend	"-T�dlicher Blick: 1E in 3cm Umkreis tot; 1 mal pro R"	- Ausbildung nur durch Todesfee!
Handelsschiffe	Hf	100G 50N	50	-	15cm Wasser	50	schwimmend		- unn�tig? (?)
Yetis	Y	100N	60	20S (5cm)	3 / 10cm	20	gehend		- Ausbildung nur durch Eiszauberer!
Ballistenturm	BT	50S 50H	40	"40S (20cm)
+LE tot"	-	-	Geb�ude	 -AntiBrumm: Beim Schuss t�tet sie sofort eine Lufteinheit	
Gesch�tzturm	GT	30H 30S	40	20S (10cm)	-	-	Geb�ude		
Magieturm	MT	150G	60	-	-	-	Geb�ude	-Magiestopp: kein Wirken von Magie oder Teleportation in einen Umkreis von 30cm zum Turm m�glich, au�er Besitzer des Turmes erlaubt es.	
Kleine Festung	KF	200G 100S 100H	400	20S (10cm)	-	-	Geb�ude	-Katapult (Bringt +30S / 200H 3R)	
Kaserne	KA	50H 50S	100	-	-	-	Geb�ude	"-Ausbildung: man kann RT, Sps, Sw, Bg ausbilden
-Betriebskosten: 50N/R"	
Kriegsmaschinenbauer	KMB	100H	100	-	-	-	Geb�ude	"-Ausbildung: Ausbildung aller Maschinen und Belagerungswaffen
-Betriebskosten: 50N/R"	
Giftfallen	GF	50G	-	-	-	-	Geb�ude	-Ausl�sen: E in 2cm Umkreis wird vergiftet.	
Stachelfallen	SF	40H	-	-	-	-	Geb�ude	-Ausl�sen: E in 2cm Umkreis -50K	
Minenfallen	MF	150G	-	-	-	-	Geb�ude	-Ausl�sen: Jede E in 3cm Umkreis -30K	
Dampfpanzer	Dp	100S	50	80S (20cm)	3 / 3cm	10	gehend		
Sandsegler	Sa	20H 50G	20	-	"10cm Land
25cm W�ste"	"40
+5E"	gehend	-gro�es Segel (Bringt: 7cm schneller / Kostet 150H 2R)	
Kristallt�rme	KT	400G	100	100S (5cm)	-	-	Geb�ude	-Quickscope: t�tet alle geg. E in 3cm Umkreis	- Ausbildung nur durch Feenk�nigin!
Moria Goblin	MG	10N 10G	20	-	2 / 8cm	10	gehend	#NAME?	
Moria Goblin Bogensch�tze	MGB	10N 10H	10	10S (5cm)	2 / 8cm	10	gehend	#NAME?	
Kampfmammut	KM	60N 20H	80	-	3 / 5cm	50	gehend		
Kampfdampfmaschinen	DM	30S	60	-	3 / 3cm	20	gehend	-Reperatur: eine andere Kampfdampfmaschine +50K wiederherstellen	
Fallenleger	Fa	30N	10	-	5 / 8cm	30	gehend	#NAME?	
Mammutbaumstammballiste	MB	60N 60H	40	60S (15cm)	2 / 5cm	50	gehend	-Baumstammkanone (Bringt Baumstammkanone / Kostet 400H 1R)	(?)
U-Boot	UB	20H 20S	40	-	15cm Wasser	"20
+4E"	schwimmend	-Torpedorohre (Bringt +50S gegen Schiffe auf 3cm / Kostet 300S)	- Abtauchen? (?)
Zeppelin	Zp	50S 50G	60	10S (5cm)	- / 15cm	"50
+4E"	fliegend	-Explosion: Wenn Zeppelin zerst�rt wird, explodiert und f�gt allen E im Umkreis von 10cm Schaden in H�he von 20K zu.	
Bomber	B	80S	20	50S (5cm)	- / 18cm	50	fliegend	" -Bombardieren: alle geg. E in 2cm Umkreis -50K; 1 mal pro R
-Fortschritt (Bringt: Bomber k�nnen ausgebildet werden / 100S 3R)"	- Kann nur im Industriegebiet erforscht werden!
Hunde	H	30N	30	-	5 / 8cm	10	gehend	-Kampfhunde (Bringt +20K / Kostet 350G 4R)	
Flieger	Fl	50H 20S	40	20S (5cm)	- / 22cm	"10
+1E"	fliegend	-J�ger (Bringt +30K / Kostet 100S 3R)	
Arbeitsmammut	Am	60N 60H	80	-	3 / 5cm	60	gehend	"-Arbeiten (Bringt: K�nnen Holz/Stein sammeln; 30H/S pro R / Kostet 200H 200N 1R)"	- Kann nur in der Klippenfestung erforscht werden!
Gro�e Festungsanlage	GFA	1000H 500S	2000	-	-	-	Geb�ude	"-Fett: ist 10cm lang
-Betriebskosten: 50N/R"	
